{-146728854184342258405821424895767873/4679991026335755970676866954398998, -1914224006630587/996203700889049, 1341909077004453/2540738440582198}
{-1914224006630587/996203700889049, 62500/1849, 1341909077004453/2540738440582198}
{1000000/29929, -1400185931332951369339771109893118842/50873727839841616707668927900998545, 712793371411159/1365324340029735}
{1000000/29929, -6682565823398939/1244989026319343, 712793371411159/1365324340029735}
{-1400185931332951369339771109893118842/50873727839841616707668927900998545, -6682565823398939/1244989026319343, 712793371411159/1365324340029735}
{-6682565823398939/1244989026319343, 1000000/29929, 712793371411159/1365324340029735}
{55, -5427/100, 1/2}
{55, -23/100, 1/2}
{-5427/100, -23/100, 1/2}
{-23/100, 55, 1/2}
{50, -4827/100, 1/2}
{50, -123/100, 1/2}
{-4827/100, -123/100, 1/2}
{-123/100, 50, 1/2}
{52, -4927/100, 1/2}
{52, -223/100, 1/2}
{-4927/100, -223/100, 1/2}
{-223/100, 52, 1/2}
{52, -3127/100, 1/2}
{52, -2023/100, 1/2}
{-3127/100, -2023/100, 1/2}
{-2023/100, 52, 1/2}
{52, -2827/100, 1/2}
{52, -2323/100, 1/2}
{-2827/100, -2323/100, 1/2}
{-2323/100, 52, 1/2}
{55, -3127/100, 1/2}
{55, -2323/100, 1/2}
{-3127/100, -2323/100, 1/2}
{-2323/100, 55, 1/2}
{34, -28, 1/2}
{34, -11/2, 1/2}
{-28, -11/2, 1/2}
{-11/2, 34, 1/2}
{35, -289/10, 1/2}
{35, -28/5, 1/2}
{-289/10, -28/5, 1/2}
{-28/5, 35, 1/2}
{38, -317/10, 1/2}
{38, -29/5, 1/2}
{-317/10, -29/5, 1/2}
{-29/5, 38, 1/2}
{28, -111/5, 1/2}
{28, -53/10, 1/2}
{-111/5, -53/10, 1/2}
{-53/10, 28, 1/2}
{35, -136/5, 1/2}
{35, -73/10, 1/2}
{-136/5, -73/10, 1/2}
{-73/10, 35, 1/2}
{45, -221/5, 1/2}
{45, -3/10, 1/2}
{-221/5, -3/10, 1/2}
{-3/10, 45, 1/2}
{50, -246/5, 1/2}
{50, -3/10, 1/2}
{-246/5, -3/10, 1/2}
{-3/10, 50, 1/2}
{55, -271/5, 1/2}
{55, -3/10, 1/2}
{-271/5, -3/10, 1/2}
{-3/10, 55, 1/2}
{55, -246/5, 1/2}
{55, -53/10, 1/2}
{-246/5, -53/10, 1/2}
{-53/10, 55, 1/2}
{58, -261/5, 1/2}
{58, -53/10, 1/2}
{-261/5, -53/10, 1/2}
{-53/10, 58, 1/2}
{62, -281/5, 1/2}
{62, -53/10, 1/2}
{-281/5, -53/10, 1/2}
{-53/10, 62, 1/2}
{62, -56/5, 1/2}
{62, -503/10, 1/2}
{-56/5, -503/10, 1/2}
{-503/10, 62, 1/2}
{62000, -309746/5, 1/2}
{62000, -503/10, 1/2}
{-309746/5, -503/10, 1/2}
{-503/10, 62000, 1/2}
{65000, -324646/5, 1/2}
{65000, -703/10, 1/2}
{-324646/5, -703/10, 1/2}
{-703/10, 65000, 1/2}
{55000, -239996/5, 1/2}
{55000, -70003/10, 1/2}
{-239996/5, -70003/10, 1/2}
{-70003/10, 55000, 1/2}
{550, -2396/5, 1/2}
{550, -703/10, 1/2}
{-2396/5, -703/10, 1/2}
{-703/10, 550, 1/2}
{55, -236/5, 1/2}
{55, -73/10, 1/2}
{-236/5, -73/10, 1/2}
{-73/10, 55, 1/2}
{55, -156/5, 1/2}
{55, -233/10, 1/2}
{-156/5, -233/10, 1/2}
{-233/10, 55, 1/2}
{65, -246/5, 1/2}
{65, -153/10, 1/2}
{-246/5, -153/10, 1/2}
{-153/10, 65, 1/2}
{69, -266/5, 1/2}
{69, -153/10, 1/2}
{-266/5, -153/10, 1/2}
{-153/10, 69, 1/2}
{75, -296/5, 1/2}
{75, -153/10, 1/2}
{-296/5, -153/10, 1/2}
{-153/10, 75, 1/2}
{85, -346/5, 1/2}
{85, -153/10, 1/2}
{-346/5, -153/10, 1/2}
{-153/10, 85, 1/2}
{70, -271/5, 1/2}
{70, -153/10, 1/2}
{-271/5, -153/10, 1/2}
{-153/10, 70, 1/2}
{71, -276/5, 1/2}
{71, -153/10, 1/2}
{-276/5, -153/10, 1/2}
{-153/10, 71, 1/2}
{24, -20, 1/2}
{24, -7/2, 1/2}
{-20, -7/2, 1/2}
{-7/2, 24, 1/2}
{35, -59/2, 5}
{35, -1/2, 5}
{35, -34, 1/2}
{35, -1/2, 1/2}
{-34, -1/2, 1/2}
{-1/2, 35, 1/2}
{35, -32, 1/2}
{35, -5/2, 1/2}
{-32, -5/2, 1/2}
{-5/2, 35, 1/2}
{250000/43, -704122417303963273/172000000000000, 125/172}
{250000/43, -295752582696036727/172000000000000, 125/172}
{-704122417303963273/172000000000000, -295752582696036727/172000000000000, 125/172}
{-295752582696036727/172000000000000, 250000/43, 125/172}
